90	91
156	26
158	66
156	133
6	82
54	5
38	116
125	128
199	100
110	59
109	152
79	113
124	42
80	128
98	177
149	22
64	150
189	97
10	98
194	67
177	133
133	52
42	89
45	81
189	197
172	195
43	157
135	155
156	87
7	49
101	185
96	179
139	117
110	130
38	70
127	145
13	189
98	159
18	12
73	76
81	83
133	71
162	113
111	198
153	2
22	63
158	127
154	139
198	196
172	147
22	154
72	154
191	197
160	145
26	31
166	130
56	131
85	61
183	54
21	102
37	80
105	71
114	97
127	1
126	126
51	6
148	162
144	18
162	185
172	24
174	152
119	121
14	144
160	167
180	162
116	111
28	196
132	85
76	185
89	33
159	175
151	48
157	82
163	166
3	118
11	70
114	18
56	140
167	23
194	97
95	167
137	38
156	11
75	4
80	173
47	136
60	156
68	92
102	150
166	64
62	80
159	72
163	160
110	7
182	76
127	113
162	99
79	158
23	89
33	42
178	72
130	33
90	73
190	152
34	138
21	159
126	194
61	130
156	104
100	167
8	66
83	137
163	81
154	35
129	24
196	49
134	6
24	0
149	25
168	198
77	91
186	20
128	121
161	80
192	61
7	174
24	181
9	55
77	84
7	114
8	159
6	46
145	98
148	66
80	9
120	179
19	51
163	149
40	32
175	13
13	19
106	186
68	162
79	92
60	18
41	37
46	184
101	149
93	82
83	81
40	20
0	99
184	199
132	157
9	164
51	38
55	102
186	23
21	44
63	111
189	6
93	138
31	95
27	193
112	137
192	139
113	143
54	2
88	155
80	128
104	16
48	111
88	113
113	32
58	152
46	187
106	155
118	197
1	177
117	120
165	195
64	100
158	61
140	19
16	51
83	170
24	49
156	28
157	18
70	97
