152	105
181	136
11	137
112	78
146	171
169	49
182	98
16	0
49	19
27	187
22	16
167	61
133	84
57	163
187	170
127	154
124	118
77	117
143	20
39	27
5	47
16	159
84	66
53	105
30	51
169	18
65	150
190	29
131	189
181	32
4	76
194	178
56	122
191	30
111	36
106	62
35	164
30	51
182	40
132	152
157	181
107	39
44	105
75	19
175	183
18	29
123	69
136	114
23	26
6	8
18	164
14	9
90	86
14	81
14	102
159	10
161	92
101	191
44	46
138	61
62	184
171	108
50	73
38	85
197	97
6	23
155	199
101	122
6	191
110	68
65	185
92	193
63	60
90	61
75	96
127	141
51	108
61	172
174	20
39	129
55	76
69	62
134	154
125	155
121	61
120	9
12	148
110	11
146	66
62	78
86	101
86	25
11	53
84	63
108	114
119	81
49	134
117	1
174	33
17	98
