96	188
183	167
156	153
89	110
121	115
61	184
122	85
121	148
18	183
90	27
146	46
146	16
173	97
137	20
189	143
135	182
4	12
28	63
168	131
156	114
19	124
35	186
158	150
24	39
58	176
177	192
19	106
59	92
98	17
3	116
93	143
78	48
173	80
138	170
115	48
23	143
79	11
22	9
119	93
28	73
81	96
90	82
86	91
141	57
122	143
173	145
188	197
36	52
30	171
84	131
121	182
29	126
73	194
99	127
64	108
24	144
50	0
19	53
133	118
196	36
2	15
98	185
148	86
20	102
52	146
16	128
79	120
75	164
109	197
102	176
38	9
161	135
42	22
78	60
37	0
101	128
150	63
184	38
75	151
74	67
131	105
185	163
7	58
60	118
78	73
18	42
19	166
74	194
45	6
25	156
27	187
35	89
90	32
73	109
68	146
147	102
7	178
90	169
191	160
28	175
